seed,proposal_index,action,daily_rows
263,1,PLACE_AT_1,150
263,1,PLACE_AT_10,150
263,1,PLACE_AT_2,150
263,1,PLACE_AT_3,150
263,1,PLACE_AT_5,150
263,2,PLACE_AT_1,150
263,2,PLACE_AT_10,150
263,2,PLACE_AT_2,150
263,2,PLACE_AT_3,150
263,2,PLACE_AT_5,150
263,3,PLACE_AT_1,150
263,3,PLACE_AT_10,150
263,3,PLACE_AT_2,150
263,3,PLACE_AT_3,150
263,3,PLACE_AT_5,150
263,4,PLACE_AT_1,150
263,4,PLACE_AT_10,150
263,4,PLACE_AT_2,150
263,4,PLACE_AT_3,150
263,4,PLACE_AT_5,150
263,5,PLACE_AT_1,150
263,5,PLACE_AT_10,150
263,5,PLACE_AT_2,150
263,5,PLACE_AT_3,150
263,5,PLACE_AT_5,150
263,6,PLACE_AT_1,150
263,6,PLACE_AT_10,150
263,6,PLACE_AT_2,150
263,6,PLACE_AT_3,150
263,6,PLACE_AT_5,150
263,7,PLACE_AT_1,150
263,7,PLACE_AT_10,150
263,7,PLACE_AT_2,150
263,7,PLACE_AT_3,150
263,7,PLACE_AT_5,150
263,8,PLACE_AT_1,150
263,8,PLACE_AT_10,150
263,8,PLACE_AT_2,150
263,8,PLACE_AT_3,150
263,8,PLACE_AT_5,150
269,1,PLACE_AT_1,150
269,1,PLACE_AT_10,150
269,1,PLACE_AT_2,150
269,1,PLACE_AT_3,150
269,1,PLACE_AT_5,150
269,2,PLACE_AT_1,150
269,2,PLACE_AT_10,150
269,2,PLACE_AT_2,150
269,2,PLACE_AT_3,150
269,2,PLACE_AT_5,150
269,3,PLACE_AT_1,150
269,3,PLACE_AT_10,150
269,3,PLACE_AT_2,150
269,3,PLACE_AT_3,150
269,3,PLACE_AT_5,150
269,4,PLACE_AT_1,150
269,4,PLACE_AT_10,150
269,4,PLACE_AT_2,150
269,4,PLACE_AT_3,150
269,4,PLACE_AT_5,150
269,5,PLACE_AT_1,150
269,5,PLACE_AT_10,150
269,5,PLACE_AT_2,150
269,5,PLACE_AT_3,150
269,5,PLACE_AT_5,150
269,6,PLACE_AT_1,150
269,6,PLACE_AT_10,150
269,6,PLACE_AT_2,150
269,6,PLACE_AT_3,150
269,6,PLACE_AT_5,150
269,7,PLACE_AT_1,150
269,7,PLACE_AT_10,150
269,7,PLACE_AT_2,150
269,7,PLACE_AT_3,150
269,7,PLACE_AT_5,150
269,8,PLACE_AT_1,150
269,8,PLACE_AT_10,150
269,8,PLACE_AT_2,150
269,8,PLACE_AT_3,150
269,8,PLACE_AT_5,150
271,1,PLACE_AT_1,150
271,1,PLACE_AT_10,150
271,1,PLACE_AT_2,150
271,1,PLACE_AT_3,150
271,1,PLACE_AT_5,150
271,2,PLACE_AT_1,150
271,2,PLACE_AT_10,150
271,2,PLACE_AT_2,150
271,2,PLACE_AT_3,150
271,2,PLACE_AT_5,150
271,3,PLACE_AT_1,150
271,3,PLACE_AT_10,150
271,3,PLACE_AT_2,150
271,3,PLACE_AT_3,150
271,3,PLACE_AT_5,150
271,4,PLACE_AT_1,150
271,4,PLACE_AT_10,150
271,4,PLACE_AT_2,150
271,4,PLACE_AT_3,150
271,4,PLACE_AT_5,150
271,5,PLACE_AT_1,150
271,5,PLACE_AT_10,150
271,5,PLACE_AT_2,150
271,5,PLACE_AT_3,150
271,5,PLACE_AT_5,150
271,6,PLACE_AT_1,150
271,6,PLACE_AT_10,150
271,6,PLACE_AT_2,150
271,6,PLACE_AT_3,150
271,6,PLACE_AT_5,150
271,7,PLACE_AT_1,150
271,7,PLACE_AT_10,150
271,7,PLACE_AT_2,150
271,7,PLACE_AT_3,150
271,7,PLACE_AT_5,150
271,8,PLACE_AT_1,150
271,8,PLACE_AT_10,150
271,8,PLACE_AT_2,150
271,8,PLACE_AT_3,150
271,8,PLACE_AT_5,150
277,1,PLACE_AT_1,150
277,1,PLACE_AT_10,150
277,1,PLACE_AT_2,150
277,1,PLACE_AT_3,150
