seed,action_count,context_count,strict_safe_improving_count,core_safe_improving_count,benefit_positive_count,risk_event_count,mean_utility_mean,p10_utility_mean
263,40,8,2,4,33,37,1.409333333333336,-3.9199999999999955
269,40,8,1,11,25,38,0.7900000000000006,-3.862000000000001
271,40,8,2,13,35,37,2.256333333333333,-2.2810000000000046
277,40,8,3,10,29,37,1.9406666666666663,-3.5479999999999974
281,40,8,4,8,37,35,1.855000000000001,-2.5249999999999995
283,40,8,4,15,36,36,1.7463333333333335,-2.9599999999999973
293,40,8,5,13,30,35,1.2453333333333325,-2.6990000000000025
307,40,8,2,3,34,38,1.2019999999999993,-3.435999999999999
311,40,8,2,7,32,37,1.1276666666666637,-4.048
313,40,8,4,6,34,36,1.2449999999999997,-2.6740000000000026
317,40,8,5,9,37,34,1.8666666666666654,-2.798999999999999
331,40,8,8,15,38,31,2.2193333333333327,-2.427000000000003
337,40,8,1,4,29,39,0.8746666666666669,-4.814999999999999
347,40,8,2,5,38,37,2.1260000000000012,-2.7049999999999965
349,40,8,3,10,35,36,1.719666666666662,-3.4390000000000045
353,40,8,6,18,34,32,1.5486666666666695,-1.892999999999996
359,40,8,2,5,30,37,1.3019999999999996,-3.0550000000000015
367,40,8,1,6,33,39,1.9643333333333342,-2.7390000000000017
