outer_fold,task,selection_kind,selected_candidate,candidate,inner_metric,mean_inner_loss,fold_count
1,utility,ridge_alpha,10.0,10.0,mae,1.064085477299508,5
1,utility,ridge_alpha,10.0,1.0,mae,1.0641936460355133,5
1,utility,ridge_alpha,10.0,0.1,mae,1.0648948891908094,5
1,utility,ridge_alpha,10.0,100.0,mae,1.1012194604050305,5
1,irrelevant,logistic_c,0.05,0.05,brier,0.2429714855820663,5
1,irrelevant,logistic_c,0.05,0.2,brier,0.24404541499947272,5
1,irrelevant,logistic_c,0.05,1.0,brier,0.2449504373094938,5
1,irrelevant,logistic_c,0.05,5.0,brier,0.2455586006846227,5
1,false_warmup,logistic_c,0.05,0.05,brier,0.1561385581603185,5
1,false_warmup,logistic_c,0.05,0.2,brier,0.15675650302451838,5
1,false_warmup,logistic_c,0.05,1.0,brier,0.1575057240840711,5
1,false_warmup,logistic_c,0.05,5.0,brier,0.15796037561595402,5
1,worst_utility,logistic_c,0.05,0.05,brier,0.2580901291331293,5
1,worst_utility,logistic_c,0.05,0.2,brier,0.2614537955239436,5
1,worst_utility,logistic_c,0.05,1.0,brier,0.26393263719111315,5
1,worst_utility,logistic_c,0.05,5.0,brier,0.2648645324403318,5
1,p10_utility,logistic_c,1.0,1.0,brier,0.09152380408749641,5
1,p10_utility,logistic_c,1.0,5.0,brier,0.09174878494744301,5
1,p10_utility,logistic_c,1.0,0.2,brier,0.09366729408607333,5
1,p10_utility,logistic_c,1.0,0.05,brier,0.10485810883229015,5
2,utility,ridge_alpha,1.0,1.0,mae,1.0872914898489991,5
2,utility,ridge_alpha,1.0,0.1,mae,1.0873992964977153,5
2,utility,ridge_alpha,1.0,10.0,mae,1.091163990899842,5
2,utility,ridge_alpha,1.0,100.0,mae,1.1371398324025574,5
2,irrelevant,logistic_c,0.05,0.05,brier,0.24328914782760033,5
2,irrelevant,logistic_c,0.05,0.2,brier,0.2441000015215872,5
2,irrelevant,logistic_c,0.05,1.0,brier,0.24462879815830468,5
2,irrelevant,logistic_c,0.05,5.0,brier,0.24506191204598538,5
2,false_warmup,logistic_c,0.05,0.05,brier,0.17013580476245244,5
2,false_warmup,logistic_c,0.05,0.2,brier,0.17053660677202556,5
2,false_warmup,logistic_c,0.05,1.0,brier,0.17174489303261925,5
2,false_warmup,logistic_c,0.05,5.0,brier,0.172737470408246,5
2,worst_utility,logistic_c,0.05,0.05,brier,0.2567266771211848,5
2,worst_utility,logistic_c,0.05,0.2,brier,0.25936256955057074,5
2,worst_utility,logistic_c,0.05,1.0,brier,0.2612633774162658,5
2,worst_utility,logistic_c,0.05,5.0,brier,0.2620523398854246,5
2,p10_utility,logistic_c,1.0,1.0,brier,0.09269078115089865,5
2,p10_utility,logistic_c,1.0,5.0,brier,0.09284985778142167,5
2,p10_utility,logistic_c,1.0,0.2,brier,0.09469658633099601,5
2,p10_utility,logistic_c,1.0,0.05,brier,0.10538825447666036,5
3,utility,ridge_alpha,0.1,0.1,mae,1.101130321841909,5
3,utility,ridge_alpha,0.1,1.0,mae,1.1014264946709669,5
3,utility,ridge_alpha,0.1,10.0,mae,1.1098186033973605,5
3,utility,ridge_alpha,0.1,100.0,mae,1.1691415121536168,5
3,irrelevant,logistic_c,0.2,0.2,brier,0.2453233431164077,5
3,irrelevant,logistic_c,0.2,1.0,brier,0.24545500368953932,5
3,irrelevant,logistic_c,0.2,0.05,brier,0.24565992364027517,5
3,irrelevant,logistic_c,0.2,5.0,brier,0.24579455732670855,5
3,false_warmup,logistic_c,0.2,0.2,brier,0.14424350504759256,5
3,false_warmup,logistic_c,0.2,0.05,brier,0.1446690968965092,5
