outer_fold,risk_head,candidate,family,params_json,inner_brier
1,irrelevant_exposure_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.25816719343243805
1,irrelevant_exposure_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2650305130145045
1,irrelevant_exposure_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.2671446936288113
1,irrelevant_exposure_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.2851350734867087
1,irrelevant_exposure_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.31265711501750165
1,irrelevant_exposure_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.31957704785459806
1,false_warmup_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.1598207779598432
1,false_warmup_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.1648179311757805
1,false_warmup_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.16684151712693873
1,false_warmup_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.17063773942115934
1,false_warmup_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.20369284980956084
1,false_warmup_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.24154116795351807
1,negative_worst_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.2596924027788477
1,negative_worst_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2668728918176709
1,negative_worst_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.2705350194890307
1,negative_worst_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.2947071500929032
1,negative_worst_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.3139103620391204
