seed,proposal_index,alternative_action,paired_block_count,scenario_count,replication_count
263,1,PLACE_AT_2,15,3,5
263,2,PLACE_AT_2,15,3,5
263,3,PLACE_AT_2,15,3,5
263,4,PLACE_AT_2,15,3,5
263,5,PLACE_AT_2,15,3,5
263,6,PLACE_AT_2,15,3,5
263,7,PLACE_AT_2,15,3,5
263,8,PLACE_AT_2,15,3,5
269,1,PLACE_AT_2,15,3,5
269,2,PLACE_AT_2,15,3,5
269,3,PLACE_AT_2,15,3,5
269,4,PLACE_AT_2,15,3,5
269,5,PLACE_AT_2,15,3,5
269,6,PLACE_AT_2,15,3,5
269,7,PLACE_AT_2,15,3,5
269,8,PLACE_AT_2,15,3,5
271,1,PLACE_AT_2,15,3,5
271,2,PLACE_AT_2,15,3,5
271,3,PLACE_AT_2,15,3,5
271,4,PLACE_AT_2,15,3,5
271,5,PLACE_AT_2,15,3,5
271,6,PLACE_AT_2,15,3,5
271,7,PLACE_AT_2,15,3,5
271,8,PLACE_AT_2,15,3,5
277,1,PLACE_AT_2,15,3,5
277,2,PLACE_AT_2,15,3,5
277,3,PLACE_AT_2,15,3,5
277,4,PLACE_AT_2,15,3,5
277,5,PLACE_AT_2,15,3,5
277,6,PLACE_AT_2,15,3,5
277,7,PLACE_AT_2,15,3,5
277,8,PLACE_AT_2,15,3,5
281,1,PLACE_AT_2,15,3,5
281,2,PLACE_AT_2,15,3,5
281,3,PLACE_AT_2,15,3,5
281,4,PLACE_AT_2,15,3,5
281,5,PLACE_AT_2,15,3,5
281,6,PLACE_AT_2,15,3,5
281,7,PLACE_AT_2,15,3,5
281,8,PLACE_AT_2,15,3,5
283,1,PLACE_AT_2,15,3,5
283,2,PLACE_AT_2,15,3,5
283,3,PLACE_AT_2,15,3,5
283,4,PLACE_AT_2,15,3,5
283,5,PLACE_AT_2,15,3,5
283,6,PLACE_AT_2,15,3,5
283,7,PLACE_AT_2,15,3,5
283,8,PLACE_AT_2,15,3,5
293,1,PLACE_AT_2,15,3,5
293,2,PLACE_AT_2,15,3,5
293,3,PLACE_AT_2,15,3,5
293,4,PLACE_AT_2,15,3,5
293,5,PLACE_AT_2,15,3,5
293,6,PLACE_AT_2,15,3,5
293,7,PLACE_AT_2,15,3,5
293,8,PLACE_AT_2,15,3,5
307,1,PLACE_AT_2,15,3,5
307,2,PLACE_AT_2,15,3,5
307,3,PLACE_AT_2,15,3,5
307,4,PLACE_AT_2,15,3,5
307,5,PLACE_AT_2,15,3,5
307,6,PLACE_AT_2,15,3,5
307,7,PLACE_AT_2,15,3,5
307,8,PLACE_AT_2,15,3,5
311,1,PLACE_AT_2,15,3,5
311,2,PLACE_AT_2,15,3,5
311,3,PLACE_AT_2,15,3,5
311,4,PLACE_AT_2,15,3,5
311,5,PLACE_AT_2,15,3,5
311,6,PLACE_AT_2,15,3,5
311,7,PLACE_AT_2,15,3,5
311,8,PLACE_AT_2,15,3,5
313,1,PLACE_AT_2,15,3,5
313,2,PLACE_AT_2,15,3,5
313,3,PLACE_AT_2,15,3,5
313,4,PLACE_AT_2,15,3,5
313,5,PLACE_AT_2,15,3,5
313,6,PLACE_AT_2,15,3,5
313,7,PLACE_AT_2,15,3,5
313,8,PLACE_AT_2,15,3,5
317,1,PLACE_AT_2,15,3,5
317,2,PLACE_AT_2,15,3,5
317,3,PLACE_AT_2,15,3,5
317,4,PLACE_AT_2,15,3,5
317,5,PLACE_AT_2,15,3,5
317,6,PLACE_AT_2,15,3,5
317,7,PLACE_AT_2,15,3,5
317,8,PLACE_AT_2,15,3,5
331,1,PLACE_AT_2,15,3,5
331,2,PLACE_AT_2,15,3,5
331,3,PLACE_AT_2,15,3,5
331,4,PLACE_AT_2,15,3,5
331,5,PLACE_AT_2,15,3,5
331,6,PLACE_AT_2,15,3,5
331,7,PLACE_AT_2,15,3,5
331,8,PLACE_AT_2,15,3,5
337,1,PLACE_AT_2,15,3,5
337,2,PLACE_AT_2,15,3,5
337,3,PLACE_AT_2,15,3,5
337,4,PLACE_AT_2,15,3,5
337,5,PLACE_AT_2,15,3,5
337,6,PLACE_AT_2,15,3,5
337,7,PLACE_AT_2,15,3,5
337,8,PLACE_AT_2,15,3,5
347,1,PLACE_AT_2,15,3,5
347,2,PLACE_AT_2,15,3,5
