seed,proposal_index,baseline_action,alternative_action,baseline_target_rank,alternative_target_rank,scenario_count,replications_per_scenario,paired_block_count,paired_mean_utility_contrast,paired_std_utility_contrast,paired_ci_low_95,paired_ci_high_95,bootstrap_probability_positive,bootstrap_probability_negative,relevant_discovery_contrast,irrelevant_exposure_contrast,false_warmup_contrast,worst_utility_contrast,p10_utility_contrast,aggregate_safety_nonworsening,strict_paired_utility_advantage,strict_paired_utility_disadvantage,paired_utility_direction_uncertain,strict_safe_paired_advantage
263,1,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-1.1733333333333325,2.4376413267942505,-2.0399999999999996,-0.30666666666666725,0.0033,0.9967,-3.6000000000001364,1.6000000000000227,-0.1999999999999997,-3.3999999999999884,-1.8800000000000407,False,False,True,False,False
263,2,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,1.4400000000000002,4.520556223677412,-0.5066666666666673,3.746666666666668,0.913,0.0848,4.400000000000091,0.40000000000009095,0.0,0.6400000000000033,-2.2400000000000313,False,False,False,True,False
263,3,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.29333333333333567,5.220217109150412,-1.7203333333333322,2.3469999999999978,0.6114,0.3885,0.6000000000001364,-1.400000000000091,0.0,2.4800000000000013,1.9199999999999986,True,False,False,True,False
263,4,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-0.8399999999999991,2.7776660294982487,-2.239999999999998,0.45333333333333403,0.1062,0.8904,-2.400000000000091,0.6000000000000227,0.0,-0.6799999999999954,-1.2000000000000002,False,False,False,True,False
263,5,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-0.986666666666666,2.2821877557249617,-2.2133333333333307,-0.05333333333333362,0.0064,0.9925,-2.7999999999999545,0.7999999999999545,0.0,-0.19999999999999996,-1.1999999999999993,False,False,True,False,False
263,6,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.4799999999999999,4.901778103038587,-1.7866666666666664,2.7599999999999993,0.6596,0.3386,1.3999999999998636,-0.19999999999993184,0.0,-1.1600000000000024,-3.0399999999999756,False,False,False,True,False
263,7,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-0.19999999999999907,2.40119018107985,-1.2533333333333327,0.8933333333333353,0.3506,0.6491,-1.400000000000091,-4.0,0.0,0.16000000000000236,0.1599999999999806,True,False,False,True,False
263,8,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-0.6666666666666671,2.8280903871862435,-1.8666666666666674,0.4666666666666666,0.124,0.8754,-1.4000000000000927,3.0,0.0,0.0,-1.959999999999979,False,False,False,True,False
269,1,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.44000000000000083,3.1777799977792225,-1.1333333333333324,1.8533333333333333,0.7222,0.2774,0.7999999999999545,-0.5999999999999073,-0.19999999999999973,0.0,0.07999999999999563,True,False,False,True,False
269,2,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-1.159999999999999,4.172152579048031,-3.3066666666666653,0.6666666666666683,0.1231,0.8769,-3.6000000000001364,-0.5999999999999086,0.0,-1.0,-3.4399999999999533,False,False,False,True,False
269,3,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.40000000000000036,6.068654828590224,-1.9333333333333333,3.3333333333333353,0.5887,0.4068,1.2000000000000453,0.0,0.0,1.840000000000009,3.320000000000027,True,False,False,True,False
269,4,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-1.4800000000000004,4.58369782100497,-3.573333333333334,0.6266666666666659,0.0867,0.9131,-3.2000000000000455,6.200000000000049,0.0,-2.400000000000011,0.2799999999999727,False,False,False,True,False
269,5,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-0.5866666666666664,1.023904757475495,-1.093333333333333,-0.13333333333333333,0.0041,0.9954,-1.800000000000182,-0.2000000000000457,0.0,-0.7199999999999931,-0.07999999999999563,False,False,True,False,False
269,6,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.1333333333333324,2.327066414015316,-0.9866666666666685,1.0933333333333317,0.6158,0.3831,1.199999999999818,2.0000000000000004,0.2000000000000001,1.0000000000000007,-0.3999999999999999,False,False,False,True,False
269,7,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.08000000000000067,0.6878538050653332,-0.22666666666666657,0.38666666666666744,0.7027,0.2954,0.4000000000000914,0.7999999999999543,0.0,0.3200000000000045,1.1546319456101628e-14,False,False,False,True,False
269,8,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.5333333333333333,1.1872336794093272,0.0,1.2,0.9664,0.0,1.599999999999909,0.0,0.0,0.39999999999999997,1.200000000000001,True,False,False,True,False
271,1,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,-1.0399999999999996,2.5175952244722954,-2.359999999999998,0.0,0.0231,0.9667,-3.199999999999818,-0.40000000000009095,0.0,-1.719999999999993,0.2800000000000409,False,False,False,True,False
271,2,PLACE_AT_1,PLACE_AT_2,1,2,3,5,15,0.5600000000000008,2.240153055995443,-0.4666666666666657,1.6666666666666696,0.8436,0.1544,1.7999999999999545,0.599999999999909,0.0,0.07999999999999541,1.0,False,False,False,True,False
