seed,proposal_index,action,scenario,replication,block_day_count,scenario_replication_five_day_policy_delta
263,1,PLACE_AT_1,conservative,0,5,4.800000000000004
263,1,PLACE_AT_1,conservative,1,5,3.3999999999999986
263,1,PLACE_AT_1,conservative,2,5,5.0
263,1,PLACE_AT_1,conservative,3,5,-3.1999999999999957
263,1,PLACE_AT_1,conservative,4,5,1.2000000000000028
263,1,PLACE_AT_1,exploratory,0,5,-2.0
263,1,PLACE_AT_1,exploratory,1,5,7.0
263,1,PLACE_AT_1,exploratory,2,5,-1.6000000000000085
263,1,PLACE_AT_1,exploratory,3,5,5.400000000000006
263,1,PLACE_AT_1,exploratory,4,5,3.5999999999999943
263,1,PLACE_AT_1,neutral,0,5,-5.3999999999999915
263,1,PLACE_AT_1,neutral,1,5,-1.7999999999999972
263,1,PLACE_AT_1,neutral,2,5,-0.6000000000000085
263,1,PLACE_AT_1,neutral,3,5,10.799999999999997
263,1,PLACE_AT_1,neutral,4,5,-6.199999999999996
263,1,PLACE_AT_10,conservative,0,5,0.0
263,1,PLACE_AT_10,conservative,1,5,0.0
263,1,PLACE_AT_10,conservative,2,5,0.0
263,1,PLACE_AT_10,conservative,3,5,0.0
263,1,PLACE_AT_10,conservative,4,5,0.0
263,1,PLACE_AT_10,exploratory,0,5,0.0
263,1,PLACE_AT_10,exploratory,1,5,0.0
263,1,PLACE_AT_10,exploratory,2,5,0.0
263,1,PLACE_AT_10,exploratory,3,5,4.799999999999997
263,1,PLACE_AT_10,exploratory,4,5,-4.0
263,1,PLACE_AT_10,neutral,0,5,0.0
263,1,PLACE_AT_10,neutral,1,5,0.0
263,1,PLACE_AT_10,neutral,2,5,1.0
263,1,PLACE_AT_10,neutral,3,5,0.0
263,1,PLACE_AT_10,neutral,4,5,0.0
263,1,PLACE_AT_2,conservative,0,5,3.8000000000000043
263,1,PLACE_AT_2,conservative,1,5,3.799999999999997
263,1,PLACE_AT_2,conservative,2,5,2.0
263,1,PLACE_AT_2,conservative,3,5,-3.1999999999999957
263,1,PLACE_AT_2,conservative,4,5,2.0
263,1,PLACE_AT_2,exploratory,0,5,-3.0
263,1,PLACE_AT_2,exploratory,1,5,7.3999999999999915
263,1,PLACE_AT_2,exploratory,2,5,1.7999999999999972
263,1,PLACE_AT_2,exploratory,3,5,3.4000000000000057
263,1,PLACE_AT_2,exploratory,4,5,5.0
263,1,PLACE_AT_2,neutral,0,5,-11.599999999999987
263,1,PLACE_AT_2,neutral,1,5,-5.199999999999989
263,1,PLACE_AT_2,neutral,2,5,-5.000000000000007
263,1,PLACE_AT_2,neutral,3,5,8.799999999999997
263,1,PLACE_AT_2,neutral,4,5,-7.199999999999996
263,1,PLACE_AT_3,conservative,0,5,3.8000000000000043
263,1,PLACE_AT_3,conservative,1,5,0.20000000000000284
263,1,PLACE_AT_3,conservative,2,5,1.0
263,1,PLACE_AT_3,conservative,3,5,-2.1999999999999957
263,1,PLACE_AT_3,conservative,4,5,1.0
263,1,PLACE_AT_3,exploratory,0,5,-2.0
263,1,PLACE_AT_3,exploratory,1,5,12.0
263,1,PLACE_AT_3,exploratory,2,5,-0.4000000000000057
263,1,PLACE_AT_3,exploratory,3,5,-0.5999999999999943
263,1,PLACE_AT_3,exploratory,4,5,-4.800000000000011
263,1,PLACE_AT_3,neutral,0,5,-10.599999999999987
263,1,PLACE_AT_3,neutral,1,5,-4.199999999999989
263,1,PLACE_AT_3,neutral,2,5,-3.6000000000000014
263,1,PLACE_AT_3,neutral,3,5,9.799999999999997
263,1,PLACE_AT_3,neutral,4,5,-5.199999999999996
263,1,PLACE_AT_5,conservative,0,5,-0.19999999999999574
263,1,PLACE_AT_5,conservative,1,5,5.200000000000003
263,1,PLACE_AT_5,conservative,2,5,2.0
263,1,PLACE_AT_5,conservative,3,5,-2.3999999999999986
263,1,PLACE_AT_5,conservative,4,5,1.0
263,1,PLACE_AT_5,exploratory,0,5,-5.0
263,1,PLACE_AT_5,exploratory,1,5,10.0
263,1,PLACE_AT_5,exploratory,2,5,0.3999999999999915
263,1,PLACE_AT_5,exploratory,3,5,4.200000000000003
263,1,PLACE_AT_5,exploratory,4,5,-1.8000000000000114
263,1,PLACE_AT_5,neutral,0,5,-1.1999999999999815
263,1,PLACE_AT_5,neutral,1,5,-3.1999999999999886
263,1,PLACE_AT_5,neutral,2,5,-5.600000000000001
263,1,PLACE_AT_5,neutral,3,5,2.8000000000000114
263,1,PLACE_AT_5,neutral,4,5,-4.199999999999996
263,2,PLACE_AT_1,conservative,0,5,1.4000000000000057
263,2,PLACE_AT_1,conservative,1,5,0.0
263,2,PLACE_AT_1,conservative,2,5,4.599999999999998
263,2,PLACE_AT_1,conservative,3,5,-2.5999999999999943
263,2,PLACE_AT_1,conservative,4,5,-3.0
263,2,PLACE_AT_1,exploratory,0,5,-7.40000000000002
263,2,PLACE_AT_1,exploratory,1,5,11.0
263,2,PLACE_AT_1,exploratory,2,5,-1.7999999999999972
263,2,PLACE_AT_1,exploratory,3,5,3.1999999999999886
263,2,PLACE_AT_1,exploratory,4,5,6.200000000000003
263,2,PLACE_AT_1,neutral,0,5,9.0
263,2,PLACE_AT_1,neutral,1,5,4.0
263,2,PLACE_AT_1,neutral,2,5,-4.0
263,2,PLACE_AT_1,neutral,3,5,-3.6000000000000014
263,2,PLACE_AT_1,neutral,4,5,4.0
263,2,PLACE_AT_10,conservative,0,5,0.0
263,2,PLACE_AT_10,conservative,1,5,0.0
263,2,PLACE_AT_10,conservative,2,5,0.0
263,2,PLACE_AT_10,conservative,3,5,0.0
263,2,PLACE_AT_10,conservative,4,5,0.0
263,2,PLACE_AT_10,exploratory,0,5,2.999999999999986
263,2,PLACE_AT_10,exploratory,1,5,0.0
263,2,PLACE_AT_10,exploratory,2,5,0.0
263,2,PLACE_AT_10,exploratory,3,5,0.0
263,2,PLACE_AT_10,exploratory,4,5,0.0
263,2,PLACE_AT_10,neutral,0,5,0.0
263,2,PLACE_AT_10,neutral,1,5,0.0
263,2,PLACE_AT_10,neutral,2,5,0.0
263,2,PLACE_AT_10,neutral,3,5,0.0
263,2,PLACE_AT_10,neutral,4,5,0.0
263,2,PLACE_AT_2,conservative,0,5,1.6000000000000014
263,2,PLACE_AT_2,conservative,1,5,1.0
263,2,PLACE_AT_2,conservative,2,5,4.599999999999998
263,2,PLACE_AT_2,conservative,3,5,-5.599999999999994
263,2,PLACE_AT_2,conservative,4,5,2.0
263,2,PLACE_AT_2,exploratory,0,5,-6.40000000000002
263,2,PLACE_AT_2,exploratory,1,5,14.0
263,2,PLACE_AT_2,exploratory,2,5,-0.7999999999999972
263,2,PLACE_AT_2,exploratory,3,5,0.19999999999998863
263,2,PLACE_AT_2,exploratory,4,5,8.200000000000003
263,2,PLACE_AT_2,neutral,0,5,9.0
263,2,PLACE_AT_2,neutral,1,5,6.0
263,2,PLACE_AT_2,neutral,2,5,-8.0
263,2,PLACE_AT_2,neutral,3,5,11.800000000000004
263,2,PLACE_AT_2,neutral,4,5,5.0
263,2,PLACE_AT_3,conservative,0,5,1.8000000000000043
263,2,PLACE_AT_3,conservative,1,5,0.0
263,2,PLACE_AT_3,conservative,2,5,6.399999999999995
263,2,PLACE_AT_3,conservative,3,5,-6.599999999999994
263,2,PLACE_AT_3,conservative,4,5,1.0
263,2,PLACE_AT_3,exploratory,0,5,-7.600000000000023
263,2,PLACE_AT_3,exploratory,1,5,9.0
263,2,PLACE_AT_3,exploratory,2,5,2.200000000000003
263,2,PLACE_AT_3,exploratory,3,5,5.199999999999989
263,2,PLACE_AT_3,exploratory,4,5,9.200000000000003
263,2,PLACE_AT_3,neutral,0,5,10.0
263,2,PLACE_AT_3,neutral,1,5,5.0
263,2,PLACE_AT_3,neutral,2,5,-8.0
263,2,PLACE_AT_3,neutral,3,5,6.800000000000004
263,2,PLACE_AT_3,neutral,4,5,3.0
263,2,PLACE_AT_5,conservative,0,5,3.8000000000000043
263,2,PLACE_AT_5,conservative,1,5,0.0
263,2,PLACE_AT_5,conservative,2,5,1.1999999999999993
263,2,PLACE_AT_5,conservative,3,5,-11.799999999999997
263,2,PLACE_AT_5,conservative,4,5,0.0
263,2,PLACE_AT_5,exploratory,0,5,11.999999999999986
263,2,PLACE_AT_5,exploratory,1,5,3.0
263,2,PLACE_AT_5,exploratory,2,5,1.4000000000000057
263,2,PLACE_AT_5,exploratory,3,5,-2.0
263,2,PLACE_AT_5,exploratory,4,5,6.0
263,2,PLACE_AT_5,neutral,0,5,0.0
263,2,PLACE_AT_5,neutral,1,5,0.0
263,2,PLACE_AT_5,neutral,2,5,0.0
263,2,PLACE_AT_5,neutral,3,5,0.6000000000000014
263,2,PLACE_AT_5,neutral,4,5,6.199999999999996
263,3,PLACE_AT_1,conservative,0,5,0.0
263,3,PLACE_AT_1,conservative,1,5,-2.8000000000000007
263,3,PLACE_AT_1,conservative,2,5,-6.599999999999998
263,3,PLACE_AT_1,conservative,3,5,-4.199999999999996
263,3,PLACE_AT_1,conservative,4,5,4.0
263,3,PLACE_AT_1,exploratory,0,5,4.0
263,3,PLACE_AT_1,exploratory,1,5,21.0
263,3,PLACE_AT_1,exploratory,2,5,6.3999999999999915
263,3,PLACE_AT_1,exploratory,3,5,6.200000000000003
263,3,PLACE_AT_1,exploratory,4,5,17.599999999999994
263,3,PLACE_AT_1,neutral,0,5,-8.199999999999989
263,3,PLACE_AT_1,neutral,1,5,-3.5999999999999943
263,3,PLACE_AT_1,neutral,2,5,-2.000000000000007
263,3,PLACE_AT_1,neutral,3,5,2.0
263,3,PLACE_AT_1,neutral,4,5,15.799999999999997
